ID,site,context,municipality,county,country,country_code,paroisse,canton,comte,commune,lat,lng
DK-35,Slavgård,Tumulus 13,NA,NA,Denmark,DK,Vorbasse,Slaugs,Ribe,Billund,55.62992,9.08239
DK-36,Ål,NA,NA,NA,Denmark,DK,Ål,Vester Horne,Ribe,Varde,55.62112,8.48069
DK-37,Ulvehøj,NA,NA,NA,Denmark,DK,Nørre Vium,Bølling,Ringkøbing,Ringkøbing-Skjern,56.03565,8.71646
DK-38,Vester Egebjerg,NA,NA,NA,Denmark,DK,Ejsing,Ginding,Ringkøbing,Holstebro,56.5218,8.78599
DK-39,Kirkegårde,NA,NA,NA,Denmark,DK,Assing,Hammerum,Ringkøbing,Herning,56.0114,8.85934
DK-40,Kvindvad,Tumulus 1,Tombe A,NA,Denmark,DK,Sinding,Hammerum,Ringkøbing,Herning,56.21237,8.85101
DK-41,Kvindvad,Tumulus 3,NA,NA,Denmark,DK,Sinding,Hammerum,Ringkøbing,Herning,56.21237,8.85101
DK-42,Kvindvad,Tumulus 4,Tombe B,NA,Denmark,DK,Sinding,Hammerum,Ringkøbing,Herning,56.21237,8.85101
DK-43,Nøvling Plantage,NA,NA,NA,Denmark,DK,Vildbjerg,Hammerum,Ringkøbing,Herning,56.2,8.76667
DK-44,Tingerdal,Tumulus 7,Tombe F,NA,Denmark,DK,Borbjerg,Hjerm,Ringkøbing,Holstebro,56.40361,8.75461
DK-45,Råbjerg Hede,Tumulus 1,Tombe C,NA,Denmark,DK,Fovsing,Hjerm,Ringkøbing,Struer,56.46667,8.53333
DK-46,Gudum,NA,NA,NA,Denmark,DK,Gudum,Skodborg,Ringkøbing,Lemvig,56.51579,8.47536
DK-47,Roesgård,Rom,NA,NA,Denmark,DK,Gudum,Skodborg,Ringkøbing,Lemvig,56.51579,8.47536
DK-48,Øster Herupgård,NA,NA,NA,Denmark,DK,Dybe,Vandfuld,Ringkøbing,Lemvig,56.51254,8.16926
DK-49,Rammedige,NA,NA,NA,Denmark,DK,Ramme,Vandfuld,Ringkøbing,Lemvig,56.4907,8.21286
DK-50,Trust,Tumulus 12,NA,NA,Denmark,DK,Tvilum,Gjern,Skanderborg,Silkeborg,56.24354,9.67367
DK-51,Tvilum,Tombe CS,NA,NA,Denmark,DK,Tvilum,Gjern,Skanderborg,Silkeborg,56.24354,9.67367
DK-52,Tvilum,Tombe CT,NA,NA,Denmark,DK,Tvilum,Gjern,Skanderborg,Silkeborg,56.24354,9.67367
DK-53,Karolinelund,Tombe A,NA,NA,Denmark,DK,Voel,Gjern,Skanderborg,Silkeborg,56.19107,9.69405
DK-54,Karolinelund,Tombe F,NA,NA,Denmark,DK,Voel,Gjern,Skanderborg,Silkeborg,56.19107,9.69405
DK-55,Vinding,Tombe O,NA,NA,Denmark,DK,Vinding,Tyrsting,Skanderborg,Silkeborg,56.02285,9.56698
DK-56,Østbirk,Tombe 4,NA,NA,Denmark,DK,Østbirk,Voer,Skanderborg,Horsens,55.96482,9.75556
DK-57,Plovstrup,NA,NA,NA,Denmark,DK,Tørring,Vrads,Skanderborg,Hedensted,55.85,9.48333
DK-58,Ølmose Huse,NA,NA,NA,Denmark,DK,Haraldsted,Ringsted,Sorø,Ringsted,55.48532,11.79287
DK-59,Juelsberg,NA,NA,NA,Denmark,DK,Avnslev,Vindinge,Svendborg,Nyborg,55.29473,10.7031
DK-60,Visby,Tombe N8,NA,NA,Denmark,DK,Visby,Hassing,Thisted,Thisted,57.0688,8.70523
DK-61,Bjergby,NA,NA,NA,Denmark,DK,Bjergby,Morsø Nørre,Thisted,Morsø,56.86788,8.73446
